epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,9239.95,0.5688,1.0362,0.4985,0.87014,0,0.91247,0.86369,0.91872,0.80455,0.89784,0.83617,0.8886,0.65626,0.48236,0.92334,0.38268,0.79691,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9636.22,0.56644,1.02982,0.49263,0.86851,0,0.91245,0.86675,0.92041,0.80683,0.89785,0.83785,0.8901,0.65586,0.47876,0.91765,0.38355,0.79591,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10032.6,0.56371,1.02375,0.48814,0.86606,0,0.91569,0.86664,0.92155,0.80846,0.89795,0.84001,0.89134,0.65932,0.47705,0.9114,0.37074,0.79476,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10428.5,0.56207,1.0283,0.48733,0.86851,0,0.91298,0.87079,0.92272,0.80986,0.89514,0.8427,0.89262,0.66091,0.47531,0.90489,0.37542,0.79446,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,10824.7,0.5598,1.01622,0.47967,0.86772,0,0.91907,0.8666,0.92253,0.81053,0.90098,0.84125,0.89241,0.66163,0.47515,0.90347,0.3781,0.79456,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11222.4,0.55578,1.01526,0.47475,0.86568,0,0.91759,0.86794,0.92318,0.81168,0.90284,0.83897,0.89299,0.66132,0.47293,0.90635,0.36645,0.79372,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,11617.5,0.55391,1.00796,0.47406,0.86309,0,0.9236,0.86687,0.92409,0.81207,0.90828,0.84012,0.89455,0.66419,0.47203,0.90293,0.36319,0.79328,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,12013.8,0.55261,1.00539,0.46974,0.86356,0,0.92539,0.87011,0.92572,0.81489,0.90838,0.84409,0.89635,0.66489,0.46727,0.89466,0.35442,0.79159,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,12408.9,0.55104,1.00627,0.46645,0.86263,0,0.92256,0.8718,0.92642,0.81593,0.90591,0.84653,0.89766,0.66785,0.4677,0.89379,0.351,0.79181,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,12805.1,0.54867,0.99483,0.46163,0.86208,0,0.92461,0.87154,0.92653,0.81723,0.90875,0.84526,0.89829,0.66884,0.46568,0.8883,0.34902,0.79046,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13201.1,0.5463,0.99461,0.46007,0.86166,0,0.92049,0.87429,0.92698,0.81787,0.90555,0.84686,0.89904,0.66959,0.46577,0.88815,0.348,0.7909,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13593.9,0.54521,0.99502,0.4578,0.86174,0,0.92253,0.87546,0.92856,0.81938,0.90745,0.84654,0.89975,0.67107,0.46252,0.88288,0.3416,0.79031,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,13985.9,0.54307,0.98582,0.45217,0.86048,0,0.92384,0.8748,0.9284,0.82001,0.90776,0.8479,0.90035,0.67131,0.46136,0.88146,0.3403,0.78993,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14383.3,0.54098,0.9879,0.4511,0.85927,0,0.92701,0.87479,0.92863,0.81975,0.90515,0.85097,0.89942,0.67214,0.46115,0.88267,0.3422,0.78949,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14779.8,0.53898,0.98001,0.44821,0.85995,0,0.92505,0.87592,0.92941,0.82136,0.91098,0.84673,0.90081,0.67406,0.45928,0.87903,0.33929,0.78963,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15177.8,0.53736,0.98148,0.44523,0.85829,0,0.92624,0.87869,0.92969,0.82197,0.90595,0.8535,0.90134,0.67469,0.45843,0.87723,0.33879,0.78895,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15575.1,0.53738,0.97707,0.44283,0.85824,0,0.92783,0.87789,0.93028,0.82311,0.9081,0.8531,0.90208,0.67556,0.45644,0.87378,0.33574,0.78815,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,15970.5,0.53501,0.97117,0.44039,0.85732,0,0.92535,0.88007,0.93037,0.82342,0.90894,0.85386,0.90226,0.67622,0.45534,0.87138,0.33227,0.78784,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16362.8,0.53233,0.96814,0.43704,0.85683,0,0.92665,0.8782,0.93057,0.82317,0.91388,0.84749,0.90183,0.67577,0.45608,0.87263,0.33236,0.78776,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,16754.6,0.53173,0.96295,0.43112,0.85604,0,0.92677,0.87854,0.93112,0.82341,0.91812,0.84575,0.90246,0.67612,0.45495,0.87002,0.33216,0.7871,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
