epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,131.55,0.45449,0.9522,0.31793,0.82675,0,0.93839,0.88674,0.93338,0.82831,0.92151,0.86586,0.91014,0.6871,0.45151,0.86031,0.3413,0.78837,0,0.000369468,0.000369468,0.000369468
2,236.299,0.48138,0.90604,0.34641,0.83718,0,0.93022,0.88301,0.9319,0.82491,0.91417,0.85983,0.90656,0.68904,0.46758,0.8695,0.36332,0.79593,0,0.000703181,0.000703181,0.000703181
3,335.435,0.49642,0.90523,0.3577,0.84074,0,0.92466,0.8825,0.92897,0.81901,0.91385,0.85209,0.90152,0.67329,0.47048,0.87757,0.35971,0.79569,0,0.00100023,0.00100023,0.00100023
4,431.209,0.49857,0.90985,0.36448,0.83956,0,0.92916,0.88084,0.92921,0.81751,0.91617,0.85544,0.90473,0.68039,0.48197,0.89358,0.38182,0.80007,0,0.000946016,0.000946016,0.000946016
5,527.109,0.49777,0.89285,0.35853,0.84064,0,0.92666,0.8782,0.92807,0.81543,0.91397,0.85157,0.90001,0.67693,0.47744,0.88234,0.37129,0.79847,0,0.000891022,0.000891022,0.000891022
6,626.503,0.4909,0.88755,0.3527,0.83743,0,0.9282,0.88065,0.92861,0.81784,0.9182,0.85363,0.90274,0.67765,0.47504,0.90351,0.38562,0.7973,0,0.000836027,0.000836027,0.000836027
